,Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
1,04/10/2018,6454.81,6604.89,6450.58,6547.56,3832.700489,25105506.15,6550.34387
2,03/10/2018,6500,6510,6396.34,6456.77,4774.763282,30760590.45,6442.327847
3,02/10/2018,6569.32,6597,6447.28,6500,4116.133424,26864363.52,6526.601729
4,01/10/2018,6597.79,6638.15,6477.57,6571.2,4796.040132,31458261.98,6559.215753
5,30/09/2018,6574.29,6628.06,6510,6597.81,2482.695075,16324644.28,6575.372242
6,29/09/2018,6609.02,6609.02,6454,6579.38,3382.015922,22128320.87,6542.938112
7,28/09/2018,6684.5,6792.28,6525.67,6610.76,7642.049364,50899264.34,6660.420773
8,27/09/2018,6454.32,6736.85,6431.95,6681.62,5664.852113,37174589.12,6562.322967
9,26/09/2018,6428.09,6540,6379.44,6461.51,4295.926741,27796306.37,6470.386494
10,25/09/2018,6578.7,6579.59,6324.96,6428.99,8206.617005,52637968.01,6414.088531
11,24/09/2018,6703.37,6721.68,6550.96,6581.52,4030.72562,26700208.64,6624.169233
12,23/09/2018,6710.01,6774.91,6659,6702.22,3248.804919,21797275,6709.320977
13,22/09/2018,6748.85,6826.28,6624.79,6710.01,5491.809514,36794402.76,6699.868716
14,21/09/2018,6492.98,6775.34,6483.83,6749.45,8569.985873,57182294.26,6672.390726
15,20/09/2018,6388.4,6535.11,6333.63,6492.98,5177.645104,33213278.94,6414.74614
16,19/09/2018,6330,6510,6100,6388.4,7232.08338,45772818.07,6329.133068
17,18/09/2018,6251.49,6390,6226.63,6332.34,4196.473148,26460916.64,6305.513155
18,17/09/2018,6499.28,6530.24,6200,6254.52,4386.887725,27739081.67,6323.180216
19,16/09/2018,6521.49,6524.84,6349.47,6499.98,1098.62806,7093170.708,6456.389531
20,15/09/2018,6476.51,6570.1,6466.74,6520.15,1328.819563,8662492.76,6518.938313
21,14/09/2018,6482.95,6587,6384.36,6476.51,4598.020983,29850883.84,6492.115618
22,13/09/2018,6326.83,6537.46,6324.37,6485.7,6985.347475,45125974.32,6460.090136
23,12/09/2018,6274.6,6350,6192.89,6322.45,4282.159601,26839702.05,6267.795821
24,11/09/2018,6303.99,6405,6162.06,6279.99,7076.79726,44475428.53,6284.683155
25,10/09/2018,6238.99,6351.13,6223.9,6301.99,5371.725307,33758141.37,6284.413191
26,09/09/2018,6178.31,6451.51,6094.38,6236.04,4104.313796,25806798.06,6287.72539
27,08/09/2018,6401.01,6465.46,6113.23,6178.31,4284.194843,26909063.9,6281.008424
28,07/09/2018,6488.01,6525,6322,6400,6541.967471,42087647,6433.484603
29,06/09/2018,6671.95,6705.59,6253.29,6493.09,14674.02367,94114515.67,6413.681603
30,05/09/2018,7353.48,7387,6650,6679.3,12408.79699,87114382.02,7020.372895
31,04/09/2018,7261.29,7411.85,7231,7361,4531.147804,33221323.53,7331.767792
32,03/09/2018,7291.94,7340.08,7184,7258.99,2829.877073,20542456.31,7259.133801
33,02/09/2018,7195.8,7334.5,7130.63,7290.31,3297.686585,23897118.98,7246.631347
34,01/09/2018,7015.78,7300.18,7015.22,7185.01,4590.457241,32867138.36,7159.883347
35,31/08/2018,6984.34,7101.03,6879,7017.35,5790.380506,40424258.59,6981.278441
36,30/08/2018,7034.47,7055.97,6792.85,6984.01,6875.261972,47500189.24,6908.855173
